CustomerId,_merge,FirstName_Customer,FirstName_Customer_New,FirstName_Changed,LastName_Customer,LastName_Customer_New,LastName_Changed,Fax_Customer,Fax_Customer_New,Fax_Changed,Email_Customer,Email_Customer_New,Email_Changed,SupportRepId_Customer,SupportRepId_Customer_New,SupportRepId_Changed
13,both,Fernanda,Fernanda,,Ramos,Ramos,,+55 (61) 3363-7855,+55 (61) 3363-7855,,fernadaramos4@uol.com.br,fernadaramos4@uol.com.br,,4,4.0,
14,both,Mark,Mark,,Philips,Philips,,+1 (780) 434-5565,+1 (780) 434-5565,,mphilips12@shaw.ca,mphilips12@shaw.ca,,5,5.0,
15,both,Jennifer,Jennifer,,Peterson,Peterson,,+1 (604) 688-8756,+1 (604) 688-8756,,jenniferp@rogers.ca,jenniferp@rogers.ca,,3,3.0,
16,both,Frank,Frank,,Harris,Harris,,+1 (650) 253-0000,+1 (650) 253-0000,,fharris@google.com,fharris@google.com,,4,4.0,
17,both,Jack,Jack,,Smith,Smith,,+1 (425) 882-8081,+1 (425) 882-8081,,jacksmith@microsoft.com,jacksmith@microsoft.com,,5,5.0,
18,both,Michelle,Michelle,,Brooks,Brooks,,+1 (212) 221-4679,+1 (212) 221-4679,,michelleb@aol.com,michelleb@aol.com,,3,3.0,
19,both,Tim,Tim,,Goyer,Goyer,,+1 (408) 996-1011,+1 (408) 996-1011,,tgoyer@apple.com,tgoyer@apple.com,,3,3.0,
20,both,Dan,Dan,,Miller,Miller,,,,,dmiller@comcast.com,dmiller@comcast.com,,4,4.0,
21,both,Kathy,Kathy,,Chase,Chase,,,,,kachase@hotmail.com,kachase@hotmail.com,,5,5.0,
22,both,Heather,Heather,,Leacock,Leacock,,,,,hleacock@gmail.com,hleacock@gmail.com,,4,4.0,
23,both,John,John,,Gordon,Gordon,,,,,johngordon22@yahoo.com,johngordon22@yahoo.com,,4,4.0,
24,both,Frank,Frank,,Ralston,Ralston,,,,,fralston@gmail.com,fralston@gmail.com,,3,3.0,
25,both,Victor,Victor,,Stevens,Stevens,,,,,vstevens@yahoo.com,vstevens@yahoo.com,,5,5.0,
26,both,Richard,Richard,,Cunningham,Cunningham,,,,,ricunningham@hotmail.com,ricunningham@hotmail.com,,4,4.0,
27,both,Patrick,Patrick,,Gray,Gray,,,,,patrick.gray@aol.com,patrick.gray@aol.com,,4,4.0,
28,both,Julia,Julia,,Barnett,Barnett,,,,,jubarnett@gmail.com,jubarnett@gmail.com,,5,5.0,
29,both,Robert,Robert,,Brown,Brown,,,,,robbrown@shaw.ca,robbrown@shaw.ca,,3,3.0,
30,both,Edward,Edward,,Francis,Francis,,,,,edfrancis@yachoo.ca,edfrancis@yachoo.ca,,3,3.0,
31,both,Martha,Martha,,Silk,Silk,,,,,marthasilk@gmail.com,marthasilk@gmail.com,,5,5.0,
32,both,Aaron,Aaron,,Mitchell,Mitchell,,,,,aaronmitchell@yahoo.ca,aaronmitchell@yahoo.ca,,4,4.0,
33,both,Ellie,Ellie,,Sullivan,Sullivan,,,,,ellie.sullivan@shaw.ca,ellie.sullivan@shaw.ca,,3,3.0,
34,both,João,João,,Fernandes,Fernandes,,,,,jfernandes@yahoo.pt,jfernandes@yahoo.pt,,4,4.0,
35,both,Madalena,Madalena,,Sampaio,Sampaio,,,,,masampaio@sapo.pt,masampaio@sapo.pt,,4,4.0,
36,both,Hannah,Hannah,,Schneider,Schneider,,,,,hannah.schneider@yahoo.de,hannah.schneider@yahoo.de,,5,5.0,
37,both,Fynn,Fynn,,Zimmermann,Zimmermann,,,,,fzimmermann@yahoo.de,fzimmermann@yahoo.de,,3,3.0,
38,both,Niklas,Niklas,,Schröder,Schröder,,,,,nschroder@surfeu.de,nschroder@surfeu.de,,3,3.0,
39,both,Camille,Camille,,Bernard,Bernard,,,,,camille.bernard@yahoo.fr,camille.bernard@yahoo.fr,,4,4.0,
40,both,Dominique,Dominique,,Lefebvre,Lefebvre,,,,,dominiquelefebvre@gmail.com,dominiquelefebvre@gmail.com,,4,4.0,
41,both,Marc,Marc,,Dubois,Dubois,,,,,marc.dubois@hotmail.com,marc.dubois@hotmail.com,,5,5.0,
42,both,Wyatt,Wyatt,,Girard,Girard,,,,,wyatt.girard@yahoo.fr,wyatt.girard@yahoo.fr,,3,3.0,
43,both,Isabelle,Isabelle,,Mercier,Mercier,,,,,isabelle_mercier@apple.fr,isabelle_mercier@apple.fr,,3,3.0,
44,both,Terhi,Terhi,,Hämäläinen,Hämäläinen,,,,,terhi.hamalainen@apple.fi,terhi.hamalainen@apple.fi,,3,3.0,
45,both,Ladislav,Ladislav,,Kovács,Kovács,,,,,ladislav_kovacs@apple.hu,ladislav_kovacs@apple.hu,,3,3.0,
46,both,Hugh,Hugh,,O'Reilly,O'Reilly,,,,,hughoreilly@apple.ie,hughoreilly@apple.ie,,3,3.0,
47,both,Lucas,Lucas,,Mancini,Mancini,,,,,lucas.mancini@yahoo.it,lucas.mancini@yahoo.it,,5,5.0,
48,both,Johannes,Johannes,,Van der Berg,Van der Berg,,,,,johavanderberg@yahoo.nl,johavanderberg@yahoo.nl,,5,5.0,
49,both,Stanisław,Stanisław,,Wójcik,Wójcik,,,,,stanisław.wójcik@wp.pl,stanisław.wójcik@wp.pl,,4,4.0,
50,both,Enrique,Enrique,,Muñoz,Muñoz,,,,,enrique_munoz@yahoo.es,enrique_munoz@yahoo.es,,5,5.0,
51,both,Joakim,Joakim,,Johansson,Johansson,,,,,joakim.johansson@yahoo.se,joakim.johansson@yahoo.se,,5,5.0,
52,both,Emma,Emma,,Jones,Jones,,,,,emma_jones@hotmail.com,emma_jones@hotmail.com,,3,3.0,
53,both,Phil,Phil,,Hughes,Hughes,,,,,phil.hughes@gmail.com,phil.hughes@gmail.com,,3,3.0,
54,both,Steve,Steve,,Murray,Murray,,,,,steve.murray@yahoo.uk,steve.murray@yahoo.uk,,5,5.0,
55,both,Mark,Mark,,Taylor,Taylor,,,,,mark.taylor@yahoo.au,mark.taylor@yahoo.au,,4,4.0,
56,both,Diego,Diego,,Gutiérrez,Gutiérrez,,,,,diego.gutierrez@yahoo.ar,diego.gutierrez@yahoo.ar,,4,4.0,
57,both,Luis,Luis,,Rojas,Rojas,,,,,luisrojas@yahoo.cl,luisrojas@yahoo.cl,,5,5.0,
58,both,Manoj,Manoj,,Pareek,Pareek,,,,,manoj.pareek@rediff.com,manoj.pareek@rediff.com,,3,3.0,
59,both,Puja,Puja,,Srivastava,Srivastava,,,,,puja_srivastava@yahoo.in,puja_srivastava@yahoo.in,,3,3.0,
